id,citizenship_type,country_id,de_person_id
1,PRIMARY,840,1
2,PRIMARY,840,2
3,PRIMARY,840,3
4,PRIMARY,840,4
5,PRIMARY,840,5
6,PRIMARY,840,6
7,PRIMARY,840,7
8,PRIMARY,840,8
9,PRIMARY,840,9
10,PRIMARY,840,10
11,PRIMARY,840,11
12,PRIMARY,840,12
13,PRIMARY,840,13
14,PRIMARY,840,14
15,PRIMARY,840,15
16,PRIMARY,840,16
17,PRIMARY,840,17
18,PRIMARY,840,18
19,PRIMARY,840,19
20,PRIMARY,840,20
21,PRIMARY,840,21
22,PRIMARY,840,22
23,PRIMARY,840,23
24,PRIMARY,840,24
25,PRIMARY,840,25
26,PRIMARY,840,26
27,PRIMARY,840,27
28,PRIMARY,840,28
29,PRIMARY,840,29
30,PRIMARY,840,30
31,PRIMARY,840,31
32,PRIMARY,840,32
33,PRIMARY,840,33
34,PRIMARY,840,34
35,PRIMARY,840,35
36,PRIMARY,840,36
37,PRIMARY,840,37
38,PRIMARY,840,38
39,PRIMARY,840,39
40,PRIMARY,840,40
41,PRIMARY,840,41
42,PRIMARY,840,42
43,PRIMARY,840,43
44,PRIMARY,840,44
45,PRIMARY,840,45
46,PRIMARY,840,46
47,PRIMARY,840,47
48,PRIMARY,840,48
49,PRIMARY,840,49
50,PRIMARY,840,50
51,PRIMARY,840,51
52,PRIMARY,840,52
53,PRIMARY,840,53
54,PRIMARY,840,54
55,PRIMARY,840,55
56,PRIMARY,840,56
57,PRIMARY,840,57
58,PRIMARY,840,58
59,PRIMARY,840,59
60,PRIMARY,840,60
61,PRIMARY,840,61
62,PRIMARY,840,62
63,PRIMARY,840,63
64,PRIMARY,840,64
65,PRIMARY,840,65
66,PRIMARY,840,66
67,PRIMARY,840,67
68,PRIMARY,840,68
69,PRIMARY,840,69
70,PRIMARY,840,70
71,PRIMARY,840,71
72,PRIMARY,840,72
73,PRIMARY,840,73
74,PRIMARY,840,74
75,PRIMARY,840,75
76,PRIMARY,840,76
77,PRIMARY,840,77
78,PRIMARY,840,78
79,PRIMARY,840,79
