id,link_s,person1_id,person2_id
0,ASSOCIATE OF,190,4696
1,LEADER OF,190,4710
2,SPIRITUAL LEADER OF,190,4710
3,LEADER OF,190,4750
4,COORDINATOR OF,238,750
5,COORDINATOR OF,270,5013
6,COMMUNICATION,270,4774
7,COORDINATOR OF,270,4782
8,COMMUNICATION,270,5112
9,MEETING,270,5341
10,COORDINATOR OF,270,1623
11,HOUSEMATE OF,270,1618
12,LEADER OF,270,190
13,SPIRITUAL LEADER OF,270,190
14,ASSOCIATE OF,270,4718
15,COORDINATOR OF,270,254
16,FRIEND OF,270,4795
17,FRIEND OF,270,4794
18,COORDINATOR OF,270,327
19,FINANCIAL/LOGISTICAL SUPPORTER OF,270,5204
20,COORDINATOR OF,270,5140
21,FRIEND OF,270,174
22,ASSOCIATE OF,270,271
23,HOUSEMATE OF,270,5496
24,FRIEND OF,270,5496
25,FINANCIAL/LOGISTICAL SUPPORTER OF,270,5180
26,COORDINATOR OF,270,320
27,COLLEAGUE OF,271,270
28,ASSOCIATE OF,322,324
29,SHARED PLOT,322,324
30,FRIEND OF,322,2312
31,SHARED PLOT,322,6461
32,MEETING,322,5090
33,ASSOCIATE OF,323,322
34,SHARED PLOT,323,322
35,RECRUITER OF,804,829
36,COORDINATOR OF,828,4794
37,SHARED PLOT,828,1399
38,SHARED PLOT,828,5343
39,SHARED PLOT,1200,238
40,SHARED PLOT,1230,4755
41,ASSOCIATE OF,1256,1308
42,SHARED PLOT,1270,1308
43,COORDINATOR OF,1301,4755
44,SHARED PLOT,1302,4755
45,ASSOCIATE OF,1308,5243
46,ASSOCIATE OF,1308,5246
47,ASSOCIATE OF,1308,5242
48,SHARED PLOT,1321,1322
49,SHARED PLOT,1323,1321
50,COORDINATOR OF,1365,5090
51,ASSOCIATE OF,1366,5140
52,ASSOCIATE OF,1366,5109
53,ASSOCIATE OF,1366,4757
54,ASSOCIATE OF,1366,4758
55,FRIEND OF,1366,4985
56,FRIEND OF,1366,4984
57,TRAVEL,1366,4798
58,COLLEAGUE OF,1366,5007
59,ASSOCIATE OF,1366,5005
60,ASSOCIATE OF,1366,5131
61,ASSOCIATE OF,1366,5133
62,ASSOCIATE OF,1366,5139
63,RECRUITER OF,1399,270
64,LEADER OF,1399,270
65,FINANCIAL/LOGISTICAL SUPPORTER OF,2980,4696
66,SHARED PLOT,2980,4797
67,ASSOCIATE OF,2980,2976
68,COMMUNICATION,2980,4798
69,SHARED PLOT,3546,1308
70,SHARED PLOT,3816,1308
71,COORDINATOR OF,4696,5202
72,FINANCIAL/LOGISTICAL SUPPORTER OF,4696,5202
73,FRIEND OF,4696,5202
74,COORDINATOR OF,4696,4797
75,FINANCIAL/LOGISTICAL SUPPORTER OF,4696,4797
76,COORDINATOR OF,4697,270
77,COMMUNICATION,4697,270
78,FINANCIAL/LOGISTICAL SUPPORTER OF,4710,4721
79,ASSOCIATE OF,4710,828
80,ASSOCIATE OF,4732,4698
81,SHARED PLOT,4732,4748
82,SHARED PLOT,4732,4755
83,COMMUNICATION,4732,4710
84,SHARED PLOT,4732,270
85,SHARED PLOT,4748,4710
86,COORDINATOR OF,4748,828
87,SHARED PLOT,4748,4721
88,SHARED PLOT,4748,4696
89,SHARED PLOT,4748,4755
90,ASSOCIATE OF,4755,4721
91,SHARED PLOT,4755,4696
92,TRAVEL,4755,5174
93,TRAVEL,4755,5172
94,SHARED PLOT,4757,4748
95,SHARED PLOT,4757,4710
96,SHARED PLOT,4757,4698
97,SHARED PLOT,4758,4755
98,SHARED PLOT,4758,4710
99,RECRUITER OF,4771,4710
100,FRIEND OF,4782,1189
101,IN-LAW OF,4782,4794
102,RECRUITER OF,4782,4786
103,FRIEND OF,4782,5343
104,RECRUITER OF,4782,4785
105,FINANCIAL/LOGISTICAL SUPPORTER OF,4793,4721
106,SHARED PLOT,4793,4755
107,ASSOCIATE OF,4793,4782
108,SHARED PLOT,4793,4757
109,SHARED PLOT,4793,4758
110,FINANCIAL/LOGISTICAL SUPPORTER OF,4793,4732
111,SHARED PLOT,4793,4748
112,SHARED PLOT,4793,828
113,COORDINATOR OF,4794,4696
114,SHARED PLOT,4794,4696
115,EMPLOYER OF,4794,4710
116,COORDINATOR OF,4794,4710
117,FRIEND OF,4794,4710
118,SHARED PLOT,4794,4710
119,COORDINATOR OF,4795,4710
120,FINANCIAL/LOGISTICAL SUPPORTER OF,4795,4710
121,EMPLOYER OF,4795,4710
122,FRIEND OF,4795,4710
123,SHARED PLOT,4795,4710
124,LEADER OF,4797,4798
125,FINANCIAL/LOGISTICAL SUPPORTER OF,4797,4798
126,TRAVEL,4797,4798
127,LEADER OF,4797,4721
128,FINANCIAL/LOGISTICAL SUPPORTER OF,4797,4721
129,SHARED PLOT,4797,4721
130,LEADER OF,4797,5015
131,SHARED PLOT,4797,5015
132,FRIEND OF,4798,1270
133,FINANCIAL/LOGISTICAL SUPPORTER OF,4798,5279
134,ASSOCIATE OF,4798,5291
